mouseNum,sex,pgm,chitau,ontau,tauoff,phase,amp,act,alpha,sdon,offsd,onoff,slop,D1Mit3,D1Mit22,D1Mit44,D1Mit33,D1Mit17,D2Mit1,D2Mit365,D2Mit56,D2Mit43,D2Mit48,D2Mit230,D3Mit131,D3Mit6,D3Mit11,D3Mit17,D3Mit162,D3Mit19,D4Mit1,D4Mit105,D4Mit108,D4Mit53,D4Mit139,D4Mit178,D4Mit27,D4Mit31,D4Mit203,D4Mit131,D5Mit73,D5Mit11,D5Mit135,D5Mit309,D5Mit398,D5Mit188,D5Mit95,D5Mit30,D5Mit98,D5Mit223,D6Mit1,D6Mit74,D6Mit19,D6Mit39,D6Mit15,D7Mit152,D7Mit25,D7Mit30,D7Mit68,D7Mit46,D8Mit58,D8Mit4,D8Mit25,D8Mit84,D8Mit47,D8Mit200,D8Mit13,D8Mit14,D8Mit42,D9Mit2,D9Mit4,D9Mit11,D9Mit37,D10NDs1,D10Mit51,D10Mit86,D10Mit170,D10Mit31,D10Mit10,D10Mit14,D10Mit233,D10Mit264,D11Mit2,D11Mit5,D11Mit59,D11Mit168,D12Mit81,D12Mit46,D12Mit236,D12Mit251,D12Mit71,D12Mit74,D12Mit5,D12Mit205,D12Mit260,D12Mit7,D12Mit195,D12Mit122,D12Mit150,vip,D12Mit263,D12Mit18,D13Mit13,D13Mit30,D13Mit53,D13Mit151,D14Mit14,D14Mit28,D14Mit7,D14Mit9,D14Mit34,D14Mit228,D15Mit53,D15Mit28,D15Mit35,D16Mit9,D16Mit4,D16Mit27,D16Mit106,D17Mit18,D17Mit6,D17Mit39,D18Mit18,D18Mit17,D18Mit40,D18Mit4,D19Mit93,D19Mit68,D19Mit28,D19Mit40,D19Mit46,D19Mit11,D19Mit1,D19Mit71,DXMit27,DXMit22,DXMit79,DXMit20
9,1,0,23.53,23.47,23.44,-2.73,10.67,32873,19.66,0.85,2.03,0.419,3,A,H,H,H,H,B,B,B,H,H,H,H,H,H,A,A,A,B,B,B,B,B,-,B,B,B,H,A,-,H,H,H,H,H,H,H,B,A,A,A,H,A,H,H,A,A,H,B,B,H,A,A,A,A,A,A,B,B,H,A,H,A,A,A,H,H,B,B,H,B,B,H,H,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,-,B,B,B,B,B,B,A,A,H,H,H,H,A,H,A,A,A,A,H,B,B,B,B,H,H,H,H,H,B,B,A,A
10,1,0,23.8,23.63,23.72,-1.82,16.85,32825,14.67,0.47,0.66,0.712,0,H,B,B,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,H,H,H,-,H,H,H,B,B,B,B,B,H,B,H,A,H,A,A,H,H,-,H,H,B,H,B,B,H,B,B,H,H,H,H,A,A,A,A,H,H,H,H,H,H,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,B,B,B,B,B,B,H,B,B,A,H,H,H,B,-,A,H,H,H,H,H,H,H,H,H,A,A,A,B,B,A,B
11,1,0,23.33,23.28,23.11,-0.68,10.8,21679,12.01,0.57,1.07,0.533,0,H,B,H,B,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,-,H,H,H,H,H,H,H,H,B,H,H,H,H,H,A,H,H,-,A,A,H,A,B,B,A,B,B,H,H,H,H,B,B,B,B,H,H,H,H,H,B,H,A,A,H,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,A,A,A,H,H,H,H,B,H,H,H,B,B,A,H,H,H,H,H,B,H,H,A,A,H,H,H,H,A,A,H,H,A,B,B,B
12,1,0,23.25,23.18,23.13,-4.32,12.5,23018,18.09,0.67,1.14,0.588,0,A,H,H,H,H,A,H,B,B,H,B,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,A,H,-,H,H,H,H,H,H,H,H,H,B,H,A,H,H,B,B,A,-,-,H,H,H,H,H,H,H,A,A,A,A,A,B,-,B,B,B,-,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,A,H,H,H,B,H,H,H,H,H,A,A,-,H,H,H,B,A,B,H,A,H,B,B,H,H,H,H,A,H,A,A,A,B,B,A
13,1,0,23.88,23.83,23.8,-0.11,2.31,17427,15.25,0.52,0.52,1,0,B,H,A,B,B,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,H,-,-,H,H,H,H,H,H,H,H,B,H,H,H,B,H,A,H,H,-,H,H,A,H,H,H,H,H,H,A,A,A,H,H,B,B,B,H,H,H,H,H,B,B,H,A,B,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,-,A,A,A,A,A,A,-,B,H,B,H,H,A,-,A,B,H,H,H,A,A,A,H,H,H,H,H,H,A,A,B,B
14,1,0,22.93,22.82,22.89,-3.75,12.08,35089,13.48,1.11,0.88,1.261,1,H,H,H,H,H,B,B,H,H,H,A,H,B,A,A,A,A,B,B,B,B,B,B,B,B,H,H,B,-,A,A,A,A,A,A,A,H,H,H,B,B,H,H,H,H,H,-,H,B,A,B,B,B,H,B,B,H,H,H,H,B,B,B,B,B,A,B,B,B,A,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,B,H,H,-,H,H,H,H,H,H,B,B,B,B,B,B,B,H,B,A,B,B,B,B,A,A,A,A,H,H,H,H,B,B,A,A
15,1,0,23.7,23.43,23.74,-2.05,4.46,21839,13.84,1.03,1.45,0.71,2,B,H,H,H,H,B,B,H,H,H,A,H,A,A,A,A,A,H,H,H,H,H,H,A,A,A,A,H,-,B,H,H,H,H,H,H,H,H,B,B,H,B,H,H,H,B,-,A,A,A,A,H,A,A,H,H,B,B,B,B,B,B,B,H,H,H,H,H,H,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,B,B,B,H,B,H,H,B,B,A,A,A,A,-,A,H,B,B,H,H,H,H,H,H,H,H,H,H,A,A,A,A
16,1,0,23.25,23.24,23.17,-0.23,19.55,33239,9.26,0.45,0.81,0.556,0,H,H,H,A,A,B,H,A,A,H,H,H,H,H,B,B,B,H,H,H,H,H,H,B,B,B,B,B,-,B,B,B,H,H,H,H,H,H,A,A,B,A,H,B,H,H,-,H,A,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,-,H,H,H,-,A,A,H,A,A,A,A,A,A,A,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,A,H,H,A,-,-,B,B,H,H,H,B,H,H,H,H,H,H,H,H,B,B,B,B,B,B,A,A,A
17,1,0,23.45,23.38,23.4,-1.48,11.61,33162,15.55,1.44,1.53,0.941,2,H,A,B,A,A,A,A,H,H,H,A,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,H,H,-,H,H,A,A,A,A,A,A,A,H,B,A,B,H,B,B,B,-,H,H,H,H,H,H,H,H,H,A,H,H,H,B,B,B,B,B,B,B,B,B,B,H,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,H,A,A,A,H,H,H,H,H,H,H,A,A,B,A,A,H,H,H,H,H,H,B,H,B,B,B,H,A,A,A,A,A,B,A,B
18,0,0,22.97,22.93,22.6,-1.59,16.21,48309,15.85,1.42,1.69,0.84,1,H,H,H,H,H,H,H,H,H,H,H,A,A,A,H,H,H,H,H,B,B,B,B,B,B,H,H,H,H,H,H,H,B,B,B,B,B,A,H,H,A,A,H,H,B,H,-,H,A,B,H,H,H,A,H,H,H,H,H,H,H,H,H,A,A,A,H,H,A,B,B,B,H,A,B,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,H,H,A,A,H,A,A,A,H,A,A,A,A,B,H,H,H,H,H,H,H,H,H,H,H,H,A,H,H,H,H,H
19,0,0,23.23,23.24,23.49,-1.82,16.18,48838,14.2,0.38,1.18,0.322,0,H,H,H,B,H,H,H,A,H,H,H,H,H,B,B,B,B,A,H,H,H,H,H,H,H,H,H,A,-,A,A,A,H,H,H,H,H,H,H,H,H,H,H,B,B,H,-,H,H,H,H,H,H,H,H,H,B,B,H,H,B,B,B,B,B,H,B,B,B,B,B,B,B,A,A,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,A,A,A,H,A,A,B,-,-,H,H,H,A,B,H,B,B,B,H,H,A,A,A,A,A,H,A,A,A,A,A,A
20,0,0,23.02,22.94,23.01,-0.57,15.08,53530,12.19,1.13,0.67,1.687,1,B,H,H,A,A,A,H,H,H,H,H,A,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,B,-,B,B,B,B,B,B,B,H,H,B,B,H,H,H,A,A,H,H,H,H,B,H,H,H,H,H,H,H,H,H,A,B,B,B,B,B,B,B,B,B,H,A,A,A,B,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,B,B,B,B,H,A,A,A,A,A,A,A,A,B,B,B,H,H,B,A,H,H,B,B,B,B,H,H,H,A,H,H,A,A,B,A
21,0,0,23.4,23.34,23.46,-1.82,21.29,72682,11.5,0.63,0.8,0.788,0,B,H,B,A,H,H,H,B,B,H,A,B,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,H,-,H,H,H,B,B,B,B,B,B,H,H,B,B,A,A,H,H,H,B,H,H,H,H,H,H,H,H,H,A,B,B,H,H,H,H,H,B,B,B,B,A,A,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,A,A,A,A,A,A,A,A,H,A,A,A,H,H,A,A,A,B,H,H,B,B,B,B,H,H,H,H,H,H,H,H,-,H
22,0,0,23.35,23.52,23.33,-4.32,12.4,67262,10.7,1.26,1.01,1.248,1,H,H,H,H,-,B,B,B,B,B,H,H,H,A,A,A,A,B,B,B,B,B,B,B,H,H,H,H,-,H,H,H,H,H,H,H,H,H,B,B,A,B,H,A,A,A,A,H,H,A,A,A,A,A,A,A,H,B,B,B,H,H,-,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,H,A,A,A,A,H,H,H,H,H,H,B,B,B,B,B,B,B,A,H,B,A,H,B,B,B,B,B,B,B,B,H,H,H,H,A,A
23,0,0,22.8,22.78,22.79,-2.05,13.1,73390,12.64,0.84,1.14,0.737,0,H,H,H,B,H,H,H,H,H,B,A,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,H,H,-,B,B,B,H,H,H,H,H,H,A,A,H,B,H,H,H,H,H,A,A,A,A,A,A,A,A,A,B,B,B,H,B,B,B,B,B,-,B,B,B,H,B,B,B,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,B,B,-,A,A,A,A,H,H,H,B,H,H,B,A,A,A,A,A,A,A,A,H,H,A,A
24,0,0,22.45,22.49,22.72,-2.95,4.03,39675,12.43,1.63,2.03,0.803,1,A,H,A,H,A,A,A,A,A,H,H,H,H,H,A,A,A,H,H,B,B,B,B,B,B,B,B,H,-,B,B,B,B,B,H,H,H,H,A,A,B,A,H,H,H,H,H,H,A,H,H,H,H,A,H,H,B,H,A,A,H,H,B,B,B,H,A,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,A,A,-,H,H,H,H,H,B,H,H,H,A,H,H,A,A,A,B,B,B,H,A,H,H,A,H,H,B,B,B,H,H,H,H,A,A,H,A,A,A
25,0,0,23.32,23.4,23.28,-0.91,10.44,52090,13.38,0.61,0.87,0.701,0,B,H,B,H,B,B,B,B,B,B,H,H,B,B,B,H,H,B,B,H,H,H,H,H,H,H,H,H,-,A,A,A,A,A,A,H,H,A,A,H,A,H,A,A,H,A,H,A,A,A,A,H,H,A,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,H,H,H,H,A,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,H,B,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,B,A,H,H,H
26,0,0,23.42,23.39,23.31,-2.02,13.1,56744,11,0.66,0.72,0.917,0,H,B,H,H,H,B,B,B,B,B,H,A,A,A,H,H,H,B,B,B,B,B,B,B,B,B,B,H,-,H,H,H,H,H,H,H,A,A,H,H,A,A,H,H,A,H,B,H,H,H,H,A,A,H,A,A,H,H,H,H,H,H,H,B,B,B,H,H,B,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,A,H,A,A,H,B,H,H,H,H,B,A,H,H,H,H,H,H,H,H,H,B,B,B,B,H,A,A,A,H
27,0,0,22.85,22.79,22.7,-3.23,14.23,80060,14.23,0.99,1.28,0.773,0,H,A,H,H,B,H,H,H,A,B,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,B,B,B,B,H,B,B,B,H,B,B,B,B,B,H,H,A,A,H,A,A,H,H,A,A,H,H,B,B,B,B,B,-,H,H,H,B,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,H,A,A,A,A,A,A,H,B,-,H,H,H,H,A,H,A,A,A,H,H,A,A,A,A,A,A,A,H,A,A,H,H
28,0,0,23.45,23.41,23.32,0.57,14.75,54267,11.23,0.46,0.91,0.505,0,B,B,B,B,H,H,H,H,H,H,H,H,A,A,A,H,H,A,A,A,A,A,H,H,H,A,A,H,-,H,B,B,B,B,B,B,H,H,A,H,H,B,H,H,B,B,B,H,H,H,B,H,B,H,B,H,H,B,B,B,A,A,A,A,A,A,A,A,A,B,H,H,B,B,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,H,B,B,A,B,H,H,H,H,H,H,B,H,A,A,A,H,A,A,B,A,A,A,A,B,B,B,B,B,B,H,H,A,A,A,A
29,0,0,23.35,23.38,23.18,-0.43,14.53,44313,9.09,0.22,1.38,0.159,0,H,A,H,H,H,H,A,H,A,H,H,H,H,H,B,B,B,H,H,H,A,A,A,A,A,H,H,A,-,A,A,H,H,H,H,B,B,A,A,A,H,A,B,B,B,B,B,H,H,A,H,A,A,H,A,A,H,B,B,H,A,A,A,A,A,A,A,A,A,B,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,H,H,H,A,H,H,H,H,H,H,H,H,H,H,H,A,A,H,H,H,H,B,B,H,B,B,B,H,H,H,H,H,H,H,H,H
30,0,0,23.7,23.69,23.79,-2.95,13.75,55567,18.29,1.62,1.37,1.182,2,B,B,A,H,H,A,A,A,A,H,A,H,H,H,H,A,A,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,B,B,B,A,B,B,B,B,H,A,H,H,A,A,H,H,H,H,H,H,H,A,A,B,H,A,A,A,A,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,H,B,B,B,B,B,B,B,B,B,A,A,H,A,A,H,H,A,A,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H
31,0,0,23.4,23.81,23.26,-8.98,17.78,63984,17.03,1.61,1.29,1.248,3,H,A,H,B,B,B,B,B,B,B,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,-,H,H,-,H,A,A,A,A,A,A,A,H,H,B,B,B,B,H,H,H,H,H,B,H,B,H,H,B,H,H,A,A,A,A,-,H,H,H,H,H,B,H,H,B,B,B,H,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,H,A,A,B,H,H,-,H,H,H,H,H,H,H,H,H,B,A,H,H,H,H,A,H,H,H,H,H,H,B,B,B,A,A,H,A
32,0,0,23.42,23.44,23.42,-0.23,20.11,61253,10.97,0.75,1.23,0.61,0,A,H,H,H,H,H,B,B,H,H,B,H,B,B,B,B,B,H,H,H,H,H,A,A,A,A,H,A,-,A,A,A,A,A,A,H,H,A,A,A,B,H,H,H,H,B,B,H,H,H,H,H,H,H,H,H,H,B,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,A,A,B,B,B,B,B,H,H,H,H,H,H,H,H,H,B,B,H,H,H,H,H,H,H,H,B,H,A,H,H,H,A,H,A,B,H,A,A,A,B,B,H,H,A,A,A,A,H,H,A,A
33,0,0,23.82,23.82,23.89,-3.16,7.28,19972,12.09,1.27,1.02,1.245,1,B,B,B,H,H,H,H,H,H,A,H,H,B,B,B,B,B,A,A,A,A,A,A,A,H,A,A,H,-,A,A,A,A,A,A,H,B,B,B,B,B,A,H,H,B,B,B,B,A,A,A,A,A,A,A,H,H,B,H,H,-,H,H,H,H,H,H,H,H,H,B,H,H,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,H,B,B,A,A,A,H,H,H,H,H,B,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H
34,0,0,23.15,23.13,23.29,-1.36,16.34,70512,14.26,0.47,0.58,0.81,0,H,H,B,H,H,H,H,H,H,A,A,H,H,H,H,H,H,H,H,B,H,B,B,B,H,H,A,A,-,H,H,B,B,B,B,B,H,A,A,A,-,A,A,H,H,B,B,B,A,H,A,H,H,A,H,H,H,H,B,B,B,B,B,-,A,A,A,A,A,H,H,H,H,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,H,H,H,B,H,H,H,H,H,A,B,H,H,A,A,A,A,H,H,H,H,H,H,A,A,H,H,H,H
35,0,0,24.12,23.75,24.14,0.34,3.33,66690,19.78,0.95,2.49,0.382,5,A,A,A,H,H,H,A,H,H,H,H,B,H,H,H,A,A,A,A,A,A,A,A,A,A,-,H,B,-,H,H,H,H,A,A,A,A,H,H,B,A,H,H,H,A,A,A,H,H,B,B,B,B,H,B,B,H,H,H,A,A,A,A,H,H,H,B,B,H,B,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,H,B,B,B,B,-,B,H,H,H,H,H,H,A,H,H,H,B,H,H,B,H,H,H,H,H,H,H,H,H,H,A,A
36,0,0,23.8,23.5,23.79,-2.05,6.59,45243,12.61,0.89,1.24,0.718,1,H,H,H,B,B,H,A,A,A,A,H,A,A,A,A,A,H,H,H,H,H,H,H,B,B,B,H,B,-,H,H,H,A,A,A,A,A,B,B,B,B,-,A,H,H,A,A,H,H,B,B,B,B,H,B,B,H,H,B,B,B,-,B,B,B,H,H,H,H,H,H,H,H,A,A,A,A,A,A,A,A,A,A,A,H,B,B,B,B,H,H,H,H,A,H,H,H,H,H,H,H,A,H,H,A,A,B,H,B,A,H,B,B,H,H,A,A,A,A,A,A,A,H,H,A
37,1,0,23.63,23.7,23.9,0,15.42,46755,12.98,0.4,0.46,0.87,0,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,-,H,H,H,H,A,A,A,H,-,H,H,H,H,-,H,H,A,A,B,H,B,B,B,B,B,B,B,H,B,B,B,B,B,B,-,B,H,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,A,A,A,A,H,H,H,H,H,H,B,B,H,B,H,H,H,H,B,B,H,H,H,H,H,H,H,H,A,A,A,A,B,A,A,A
38,1,0,23.58,23.61,23.79,-0.02,7.76,45170,15.63,0.36,1.02,0.353,0,A,A,A,A,H,B,B,B,B,H,H,B,B,H,B,B,B,B,-,H,H,-,A,A,H,H,H,B,-,B,B,B,B,B,B,B,H,B,B,H,A,H,H,H,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,A,A,-,H,H,H,H,H,H,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,A,H,B,H,H,B,H,A,H,H,A,H,H,H,H,A,H,H,H,H,H,H,A,A,A,A
